service;origin;destiny;color_id;stopsI;stopsR;scheduleI;scheduleR
109;Renca;Maipu;4;PB1520-PB1517-PB1518-PB1521-PB1060-PB1661-PB1660-PB1061-PB1062-PB1063-PB1064-PB1065-PB61-PB62-PB63-PB64-PB65-PB66-PB67-PB68-PB69-PB70-PB71-PB72-PB73-PB74-PB75-PJ36-PJ37-PJ38-PJ1774-PJ454-PJ455-PJ97-PJ52-PJ53-PJ54-PA1-PA599-PA2-PI169-PI170-PI171-PI172-PI173-PI174-PI175-PI176-PI177-PI178-PI179-PI180-PI181-PI1616-PI1617-PI1618-PI1619-PI23-PI1271-PI137-PI139-PI1314-PI141-PI142-PI1372-PI144-PI145-PI146-PI148-PI149-PI150-PI151-PI152-PI182-PI183-PI185-PI186-PI187-PI1341-PI1340-PI189-PI190-PI191-PI192-PI481-PI368;PI369-PI193-PI1598-PI194-PI195-PI1574-PI196-PI1493-PI198-PI200-PI202-PI1792-PI102-PI103-PI1816-PI105-PI106-PI1367-PI1368-PI1369-PI1370-PI112-PI114-PI115-PI116-PI118-PI119-PI120-PI1631-PI1630-PI1629-PI1628-PI1627-PI1626-PI1625-PI1624-PI1819-PI204-PI205-PI206-PI207-PI208-PI209-PI210-PA9-PA10-PA695-PA11-PA12-PA13-PA14-PA15-PA16-PA4-PA6-PA7-PJ56-PJ57-PJ58-PJ45-PJ591-PJ47-PJ48-PJ49-PJ50-PB76-PB77-PB78-PB79-PB80-PB81-PB82-PB83-PB84-PB85-PB86-PB1709-PB87-PB88-PB89-PB90-PB1098-PB1099-PB1100-PB1101-PB1102-PB1644-PB1642-PB1692-PB1387-PB1861-PB1540-PB1541;Sábado-05:30-23:45/Lunes a Viernes-05:30-23:30/Domingo y Festivos-05:30-23:45;Domingo y Festivos-05:30-23:45/Sábado-05:30-23:45/Lunes a Viernes-05:30-23:45
109N;(M) Quinta Normal;Maipu;4;PA343-PA41-PA344-PA345-PA184-PA346-PA347-PA348-PA349-PA551-PA562-PA714-PI169-PI170-PI171-PI172-PI173-PI174-PI175-PI176-PI177-PI178-PI179-PI180-PI181-PI1616-PI1617-PI1618-PI1619-PI23-PI1271-PI137-PI139-PI1314-PI141-PI142-PI1372-PI144-PI145-PI146-PI148-PI149-PI150-PI151-PI152-PI956-PI1570-PI957-PI1581-PI958-PI1357-PI950;PI951-PI949-PI952-PI953-PI954-PI1493-PI198-PI200-PI202-PI1792-PI102-PI103-PI1816-PI105-PI106-PI1367-PI1368-PI1369-PI1370-PI112-PI114-PI115-PI116-PI118-PI119-PI120-PI1631-PI1630-PI1629-PI1628-PI1627-PI1626-PI1625-PI1624-PI1819-PI203-PI204-PI205-PI206-PI207-PI208-PI209-PI210-PA9-PA10-PA695-PA11-PA12-PA13-PA14-PA15-PA163-PA336-PA337-PA28-PA350-PA168-PA169-PA342;Lunes a Viernes-00:00-05:00/Domingo y Festivos-00:00-05:06/Sábado-00:00-05:00;Lunes a Viernes-00:00-05:00/Domingo y Festivos-00:00-05:00/Sábado-00:00-05:00
110;Renca;Maipu;4;PB82-PB83-PB84-PB85-PB86-PB1709-PB87-PB88-PB89-PB90-PB91-PB92-PB93-PB94-PB95-PB96-PB97-PB98-PB99-PB100-PJ35-PJ59-PJ60-PJ61-PJ62-PJ63-PJ1771-PJ64-PJ65-PJ66-PJ67-PJ68-PJ69-PJ70-PJ71-PJ72-PI765-PI766-PI767-PI768-PI769-PI770-PI771-PI772-PJ73-PJ74-PJ75-PJ76-PI1652-PI212-PI1597-PI213-PI214-PI215-PI253-PI217-PI218-PI219-PI220-PI221-PI222-PI657-PI1367-PI1368-PI1369-PI111;PI223-PI224-PI225-PI226-PI227-PI146-PI1818-PI231-PI232-PI233-PI234-PI235-PI255-PI387-PI1462-PI237-PI238-PI239-PI240-PI241-PI242-PJ77-PJ78-PJ79-PJ80-PI742-PI743-PI744-PI745-PJ81-PI747-PI748-PJ82-PJ83-PJ84-PJ85-PJ86-PJ87-PJ88-PJ89-PJ1772-PJ90-PJ91-PJ92-PJ93-PJ94-PJ95-PB51-PB52-PB53-PB54-PB55-PB56-PB57-PB1690-PB58-PB59-PB60-PB61-PB62-PB63-PB64-PB65-PB66-PB67-PB68;Domingo y Festivos-05:30-00:30/Sábado-05:30-00:30/Lunes a Viernes-05:30-00:30;Domingo y Festivos-05:30-00:30/Lunes a Viernes-05:30-00:30/Sábado-05:30-00:30
110c;Renca;Pudahuel Sur;4;PB91-PB92-PB93-PB94-PB95-PB96-PB97-PB98-PB99-PB100-PJ35-PJ59-PJ60-PJ61-PJ62-PJ63-PJ1771-PJ64-PJ65-PJ66-PJ67-PJ68-PJ69-PJ70-PJ71-PJ72-PI765-PI766-PI767-PI768-PI769-PI770-PI771-PI772-PJ73-PJ74-PJ75;PJ77-PJ78-PJ79-PJ80-PI742-PI743-PI744-PI745-PJ81-PI747-PI748-PJ82-PJ83-PJ84-PJ85-PJ86-PJ87-PJ88-PJ89-PJ1772-PJ90-PJ91-PJ92-PJ93-PJ94-PJ95-PB51-PB52-PB53-PB54-PB55-PB56-PB57-PB1690-PB58-PB59-PB60-PB91;Domingo y Festivos-10:00-20:50/Lunes a Viernes-06:30-21:22/Sábado-09:48-20:24;Lunes a Viernes-06:30-21:29/Domingo y Festivos-10:30-20:50/Sábado-10:24-20:24
111;(M) Pajarito;Ciudad Satelite;4;PI755-PI761-PI762-PI763-PJ627-PI765-PI766-PI767-PI768-PI769-PI770-PI771-PI772-PJ73-PJ1713-PJ1733-PJ1732-PJ76-PI243-PI244-PI1398-PI248-PI245-PI246-PI247-PI249-PI250-PI251-PI252-PI215-PI253-PI217-PI218-PI219-PI220-PI221-PI222-PI420-PI422-PI423-PI1336-PI297-PI299-PI300-PI301-PI302-PI303-PI304-PI1600-PI305-PI306-PI317-PI307-PI308-PI309-PI310-PI311-PI312-PI1599;PI1599-PI265-PI266-PI267-PI268-PI269-PI270-PI271-PI272-PI1601-PI273-PI274-PI275-PI276-PI277-PI279-PI382-PI383-PI384-PI385-PI386-PI231-PI232-PI233-PI234-PI235-PI255-PI387-PI1462-PI237-PI238-PI256-PI257-PI258-PI259-PI260-PI261-PI262-PI263-PI241-PI242-PJ77-PJ78-PJ79-PJ80-PI742-PI743-PI744-PI745-PJ81-PI747-PI748-PI749-PI750-PI751-PI752-PI753-PI755;Domingo y Festivos-05:30-00:30/Lunes a Viernes-05:30-00:30/Sábado-05:30-00:30;Sábado-05:30-00:30/Lunes a Viernes-05:30-00:30/Domingo y Festivos-05:30-00:30
112N;Av. La Florida;Recoleta;4;PF7-PF8-PF9-PF10-PF11-PF12-PF13-PF15-PE23-PE24-PE25-PE26-PE27-PE28-PE29-PE1287-PE1383-PE30-PE31-PE32-PD85-PD273-PD274-PD173-PD275-PD276-PD277-PD278-PD174-PD1356-PD279-PD283-PD175-PD280-PD281-PD282-PD176-PD284-PD285-PD177-PD218-PD219-PD220-PD178-PD221-PD222-PD180-PD223-PD179-PD1116-PD181-PD182-PC52-PC53-PC54-PC55-PC56-PC57-PC58-PC59-PC60-PC61-PC62-PC1073-PC64-PC65-PB116-PB117-PB118-PB119-PB120;PB129-PB130-PB131-PB132-PC66-PC67-PC68-PC69-PC70-PC71-PC72-PC73-PC74-PC75-PC76-PC77-PC78-PC79-PC80-PD183-PD184-PD185-PD226-PD227-PD186-PD228-PD229-PD187-PD230-PD231-PD188-PD189-PD265-PD266-PD190-PD267-PD191-PD268-PD269-PD192-PD270-PD75-PE7-PE8-PE9-PE10-PE11-PE12-PE13-PE14-PE15-PE16-PE17-PE18-PE19-PE20-PE21-PE22-PF1-PF2-PF3;Lunes a Viernes-00:00-05:20/Domingo y Festivos-00:00-05:20/Sábado-00:00-05:20;Domingo y Festivos-00:00-05:20/Sábado-00:00-05:20/Lunes a Viernes-00:00-05:20
113;Ciudad Satelite;(M) La Moneda;4;PI1599-PI265-PI266-PI267-PI268-PI269-PI270-PI271-PI272-PI1601-PI273-PI274-PI275-PI276-PI277-PI279-PI280-PI282-PI283-PI329-PI284-PI285-PI286-PI287-PI1326-PI118-PI119-PI120-PI1631-PI1630-PI1629-PI1628-PI1627-PI1626-PI1625-PI1623-PI1320-PI288-PI1319-PI289-PH94-PH95-PH96-PH97-PH1472-PH98-PH99-PH100-PH101-PA17-PA18-PA19-PA20-PA21-PA22-PA662-PA23-PA24-PA25-PA80-PA81;PA166-PA35-PA36-PA37-PA38-PA39-PH104-PH1473-PH105-PH106-PH107-PA659-PA574-PA573-PH108-PH109-PI1327-PI179-PI180-PI181-PI1616-PI1617-PI1618-PI1619-PI23-PI1271-PI137-PI296-PI290-PI291-PI292-PI293-PI294-PI295-PI1349-PI297-PI299-PI300-PI301-PI302-PI303-PI304-PI1600-PI305-PI306-PI317-PI307-PI308-PI309-PI310-PI311-PI312-PI1599;Domingo y Festivos-05:30-23:45/Sábado-05:30-23:45/Lunes a Viernes-05:30-23:45;Domingo y Festivos-05:30-23:45/Lunes a Viernes-06:30-23:45/Sábado-05:30-23:45
113e;Ciudad Satelite;(M) La Moneda;4;PI1599-PI265-PI266-PI267-PI268-PI269-PI270-PI273-PI274-PI356-PA675;PA675-PA166-PI358-PI359-PI303-PI304-PI317-PI307-PI308-PI309-PI310-PI311-PI312-PI1599;Lunes a Viernes-06:00-08:45;Lunes a Viernes-17:33-21:24
114;Providenci;Mall Plaza Tobalaba;4;PC1-PC2-PC3-PC4-PC5-PC6-PC7-PC8-PC9-PC10-PC11-PD6-PD7-PD8-PD9-PD10-PD11-PD12-PD13-PD14-PD15-PD16-PD17-PD18-PD19-PD20-PD21-PD1306-PD70-PD71-PD72-PD73-PD1417-PD74-PD75-PE7-PE8-PE9-PE10-PE11-PE12-PE13-PE14-PE15-PE16-PE17-PE18-PE19-PE20-PE21-PE22-PF1-PF2-PF3-PF4;PF5-PF829-PF6-PF7-PF8-PF9-PF10-PF11-PF12-PF13-PF15-PE23-PE24-PE25-PE26-PE27-PE28-PE29-PE1287-PE1383-PE30-PE31-PE32-PD85-PD147-PD87-PD148-PD149-PD88-PD89-PD1428-PD1305-PD37-PD38-PD39-PD40-PD41-PD42-PD43-PD44-PD45-PD46-PD47-PD48-PD49-PD50-PD51-PD52-PC12-PC13-PC14-PC15-PC16-PC17-PC18-PC19-PC20-PC21;Domingo y Festivos-05:30-20:59/Lunes a Viernes-05:30-21:21/Sábado-05:30-20:15;Lunes a Viernes-05:39-21:29/Sábado-05:30-20:29/Domingo y Festivos-05:33-20:59
115;Villa El Abrazo;(M) La Moneda;4;PI1634-PI318-PI319-PI320-PI321-PI322-PI323-PI324-PI325-PI326-PI327-PI328-PI1492-PI274-PI275-PI276-PI277-PI279-PI280-PI282-PI283-PI329-PI284-PI285-PI286-PI287-PI1326-PI118-PI119-PI120-PI1631-PI1630-PI1629-PI1628-PI1627-PI1626-PI1625-PI1623-PI1320-PI288-PI1319-PI289-PH94-PH95-PH96-PH97-PH1472-PH98-PH99-PH100-PH101-PA17-PA18-PA19-PA20-PA21-PA22-PA662-PA23-PA24-PA25-PA80-PA81;PA166-PA30-PA31-PA32-PA33-PA34-PA630-PA633-PA634-PA635-PH1459-PH103-PH104-PH1473-PH105-PH106-PH107-PA659-PA574-PA573-PH108-PH109-PI1327-PI179-PI180-PI181-PI1616-PI1617-PI1618-PI1619-PI23-PI1271-PI137-PI296-PI290-PI291-PI292-PI293-PI294-PI295-PI1349-PI297-PI299-PI300-PI301-PI302-PI303-PI330-PI331-PI332-PI333-PI334-PI335-PI336-PI337-PI338;Lunes a Viernes-05:30-23:45/Sábado-05:30-23:45/Domingo y Festivos-05:30-23:30;Lunes a Viernes-06:30-00:30/Domingo y Festivos-06:15-23:40/Sábado-06:36-23:45
116;Huechuraba;Santiago Centro;4;PB335-PB336-PB133-PB134-PB135-PB136-PB137-PB1695-PB138-PB139-PB141-PB142-PB101-PB102-PB103-PB104-PB1580-PB105-PB106-PB107-PB143-PB144-PB145-PB146-PB147-PB148-PB149-PB150-PB151-PB152-PB153-PB154-PB155-PB156-PB157-PB158-PA698;PA373-PA692-PA43-PA587-PA47-PB160-PB161-PB162-PB163-PB1497-PB165-PB166-PB167-PB168-PB169-PB170-PB171-PB172-PB173-PB174-PB175-PB109-PB110-PB111-PB1581-PB113-PB114-PB115-PB176-PB1492-PB1663-PB1705-PB1496-PB1493-PB1494-PB774-PB181-PB182-PB1495-PB297-PB298;Lunes a Viernes-05:30-23:45/Sábado-05:30-23:30/Domingo y Festivos-06:00-23:40;Domingo y Festivos-06:24-23:40/Sábado-05:30-23:30/Lunes a Viernes-05:30-23:45
117;(M) Vespucio Norte;San Joaquin;4;PB1575-PB334-PB335-PB336-PB133-PB134-PB135-PB136-PB137-PB1695-PB138-PB139-PB141-PB142-PB101-PB102-PB103-PB104-PC340-PC341-PC370-PC3-PC4-PC5-PC6-PC7-PC8-PC9-PC10-PC11-PD6-PD7-PD8-PD9-PD10-PD11-PD12-PD13-PD14-PD15-PD16-PD17-PD18-PD19-PD20-PD21-PD22-PD23-PD24-PD25-PD26-PD27-PD28-PD29-PD1161-PD4-PD5-PH45-PH23-PH46;PH47-PH48-PH49-PH1443-PH1442-PH1491-PH21-PH22-PH672-PE1-PE2-PD30-PD31-PD32-PD33-PD34-PD35-PD36-PD37-PD38-PD39-PD40-PD41-PD42-PD43-PD44-PD45-PD46-PD47-PD48-PD49-PD50-PD51-PD52-PC12-PC13-PC14-PC15-PC16-PC17-PC18-PC19-PC152-PC153-PC206-PC155-PC1216-PC1227-PC1145-PB1561-PB1562-PB1560-PB176-PB1492-PB1663-PB1705-PB1496-PB1493-PB1494-PB774-PB181-PB182-PB1495-PB297-PB298-PB299-PB300-PB121-PB122-PB123-PB1633-PB1612-PB1634-PB1619-PB1575;Lunes a Viernes-05:30-23:40/Domingo y Festivos-06:50-22:50/Sábado-06:30-22:52;Lunes a Viernes-05:30-23:40/Domingo y Festivos-07:50-22:50/Sábado-06:30-22:52
117c;Huechuraba;Providencia;4;PB133-PB135-PB136-PB137-PB142-PB101-PB102-PB103-PB104-PC340-PC341-PC370-PC152-PC153-PC206-PC155-PC1216-PC1227-PC1145-PB1561-PB1562-PB1560-PB176-PB141-PB1492-PB139-PB1663-PB1705-PB138-PB1496-PB1695-PB1493-PB1494-PB774-PB181-PB182-PB134-PB1495-PB297-PB336-PB298-PB335;;Lunes a Viernes-05:39-09:07/Lunes a Viernes-17:30-21:10;Lunes a Viernes-05:30-09:08/Lunes a Viernes-17:30-21:10
