service;origin;destiny;color
D07c;DIAGONAL LAS TORRES;(M) LOS PRESIDENTES;#F58220
D08;AV. GRECIA;(M) FRANCISCO BILBAO;#F58220
D09;AV. GRECIA ORIENTE;(M) MANUEL MONTT;#F58220
D10;(M) CARLOS VALDOVINOS;DIAGONAL LAS TORRES;#F58220
D11;DIAGONAL LAS TORRES;MALL ALTO LAS CONDES;#F58220
D13;(M) BELLAVISTA DE LA FLORIDA;(M) IRARRAZAVAL;#00A77E
D14;(M) PEDRERO;(M) QUILIN;#F58220
D15;DIAGONAL LAS TORRES;LA REINA ALTA;#F58220
D16;MARIA ANGELICA;(M) FRANCISCO BILBAO;#F58220
D17;ALTO MACUL;(M) QUILIN;#F58220
D17v;LAS PIRCAS; (M) QUILIN;#F58220
D18;ALVARO CASANOVA;(M) SANTA ISABEL;#F58220
D20;DIAGONAL LAS TORRES;AV. LAS TORRES;#F58220
E01;SAN JOSE DE LA ESTRELLA;(M) SANTA ROSA;#00A77E
E02;(M) LO OVALLE;DIEGO PORTALES;#00A77E
E03;(M) LO OVALLE ;JARDIN ALTO;#00A77E
E04;AV. LA FLORIDA;(M) FRANKLIN;#00A77E
E05;(M) LA CISTERNA ;(M) BELLAVISTA DE LA FLORIDA;#00A77E
E06;(M) BELLAVISTA DE LA FLORIDA ;MARIA ANGELICA;#00A77E
E07;(M) BELLAVISTA DE LA FLORIDA ;ROJAS MAGALLANES;#00A77E
E08;DIEGO PORTALES;(M) BELLAVISTA DE LA FLORIDA;#00A77E
E09;(M) ELISA CORREA;(M) SANTA ROSA;#00A77E
E10;EL HUALLE;SANTA ROSA P21;#00A77E
E11;DIEGO PORTALES;(M) SANTA ROSA;#00A77E
E12;GABRIELA;SANTA ROSA P18;#00A77E
E13;GABRIELA;(M) BELLAVISTA DE LA FLORIDA;#00A77E
E14;SAN JOSE DE LA ESTRELLA;(M) BELLAVISTA DE LA FLORIDA;#00A77E
E15c;GABRIELA;(M) BELLAVISTA DE LA FLORIDA;#00A77E
E16;GABRIELA;(M) SANTA ROSA;#00A77E
E17;(M) BELLAVISTA DE LA FLORIDA;LAS PERDICES;#00A77E
E18;HOSPITAL PADRE HURTADO;(M) BELLAVISTA DE LA FLORIDA;#00A77E
F01;VILLA PADRE HURTADO;CASAS VIEJAS;#FFC107
F01c;(M) PLAZA PUENTE ALTO;CASAS VIEJAS;#FFC107
F02;PIE ANDINO;SAN GERONIMO;#FFC107
F03;(M) PLAZA PUENTE ALTO;PLAZA SAN BERNARDO;#FFC107
F03c;PIE ANDINO;VILLA LAS MAMIñAS;#FFC107
F05;(M) LA CISTERNA;PIE ANDINO;#FFC107
F06;(M) LA CISTERNA;PIE ANDINO;#FFC107
F07;MALL PLAZA TOBALABA;VILLA PADRE HURTADO;#FFC107
F08;VILLA PADRE HURTADO;DIEGO PORTALES;#FFC107
F09;PIE ANDINO;(M) ELISA CORREA;#FFC107
F10;SAN GUILLERMO;MALL PLAZA TOBALABA;#FFC107
F10c;SAN GUILLERMO;MALL PLAZA TOBALABA;#FFC107
F11;LAS VIZCACHAS;PIE ANDINO;#FFC107
F12;BAJOS DE MENA;(M) PLAZA PUENTE ALTO;#FFC107
F12c;AV. JUANITA;(M) PLAZA PUENTE ALTO ;#FFC107
F13;BAJOS DE MENA;MALL PLAZA TOBALABA;#FFC107
F13c;BAJOS DE MENA;(M) PLAZA PUENTE ALTO;#FFC107
F14;VILLA PADRE HURTADO;(M) PLAZA PUENTE ALTO;#FFC107
F15;BAJOS DE MENA;(M) ELISA CORREA;#FFC107
F16;VILLA PADRE HURTADO;RIVERA RIO MAIPO;#FFC107
F18;VILLA CHILOE;(M) PLAZA PUENTE ALTO;#FFC107
F19;PIE ANDINO;MALL PLAZA TOBALABA;#FFC107
F20;(M) LA CISTERNA;PIE ANDINO;#FFC107
F24;CASAS VIEJAS; (M) ELISA CORREA;#FFC107
F25;BAJOS DE MENA;(M) BELLAVISTA DE LA FLORIDA;#FFC107
F25e;BAJOS DE MENA;(M) BELLAVISTA DE LA FLORIDA;#FFC107
F26;VILLA PADRE HURTADO;SAN CARLOS ORIENTE;#FFC107
F27;VILLA PADRE HURTADO;VILLA PORTEZUELO ORIENTE;#FFC107
F29;PIE ANDINO;CASAS VIEJAS;#FFC107
F30N;BAJOS DE MENA;LA MONEDA;#FFC107
G01;VILLA 4 DE SEPTIEMBRE;SANTO TOMAS;#0951BC
G01c;VILLA 4 DE SEPTIEMBRE;SANTA ROSA P. 21;#0951BC
G02;PLAZA SAN BERNARDO;PUENTE LOS MORROS;#0951BC
G04;(M) LA CISTERNA;SANTO TOMAS;#0951BC
G05;EL CASTILLO;(M) LA CISTERNA;#0951BC
G07;SAN FRANCISCO;LO HERRERA;#0951BC
G08;POBLACION LA SELVA;(M) LA CISTERNA;#0951BC
G08v;NOS;(M) LA CISTERNA;#0951BC
G09;LO BLANCO;SANTA MARGARITA;#0951BC
G11;LO BLANCO;(M) LO OVALLE;#0951BC
G12;(M) LO OVALLE;CEMENTERIO METROPOLITANO;#0951BC
G13;(M) LA CISTERNA;EL CASTILLO;#0951BC
G14;ESTACION LO BLANCO;POBLACION VALLE NEVADO;#0951BC
G15;(M) LA CISTERNA;SANTO TOMAS;#0951BC
G16;(M) LA CISTERNA;LO BLANCO;#0951BC
G18;SANTO TOMAS;(M) LO OVALLE;#0951BC
G22;VILLA ESPAñA;(M) LA CISTERNA;#0951BC
G23;ESTACION LO BLANCO;SANTA ROSA P.43;#0951BC
H02;(M) CARLOS VALDOVINOS;(M) LO VIAL ;#00A77E
H03;(M) LO OVALLE;MALL PLAZA OESTE;#00A77E
H04;(M) CARLOS VALDOVINOS ; LA VICTORIA;#00A77E
H05;(M) CARLOS VALDOVINOS;POBL. DAVILA;#00A77E
H06;POBL. LAS TURBINAS;AV. MATTA;#00A77E
H07;(M) ÑUBLE ;(M) LO OVALLE;#00A77E
H08;POBL.  LAS TURBINAS;(M) LO OVALLE;#00A77E
H09;POBL. DAVILA;(M) CARLOS VALDOVINOS;#00A77E
H12;LO ESPEJO;(M) FRANKLIN;#00A77E
H13;SANTA OLGA;POSTA CENTRAL;#00A77E
H14;MALL FLORIDA CENTER;(M) FRANKLIN;#00A77E
I01;VILLA LOS HEROES;HOSPITAL BORJA ARRIARAN;#00A77E
I02;RINCONADA;(M) LAGUNA SUR;#00A77E
I03;VILLA LOS HEROES;(M) LAS REJAS;#00A77E
I03c;VALLE VERDE;(M) SAN ALBERTO HURTADO;#00A77E
I04;VILLA EL ABRAZO;(M) SAN ALBERTO HURTADO;#00A77E
I04c;VILLA EL ABRAZO;(M) PLAZA MAIPU;#00A77E
I04e;VILLA EL ABRAZO;(M) PLAZA MAIPU;#00A77E
I05;RINCONADA;(M) LO OVALLE;#00A77E
I07;RINCONADA;MALL ARAUCO MAIPU;#00A77E
I08;MALL ARAUCO MAIPU;(M) SAN ALBERTO HURTADO;#00A77E
I08N;LA FARFANA;ALAMEDA;#00A77E
I08c;LA FARFANA;(M) DEL SOL;#00A77E
I09;RINCONADA;(M) U. DE CHILE;#00A77E
I09c;RINCONADA;(M) LAS REJAS;#00A77E
I09e;RINCONADA;(M) U. DE CHILE;#00A77E
I10;VILLA LOS HEROES;USACH;#00A77E
I10N;VILLA LOS HEROES;ALAMEDA;#00A77E
I11;CIUDAD SATELITE;(M) PLAZA MAIPU;#00A77E
I11N;;;#00A77E
I12;PUEBLITO LA FARFANA;MALL PLAZA OESTE;#00A77E
I13;VILLA LOS PRESIDENTES;(M) SAN ALBERTO HURTADO;#00A77E
I14;MALL PLAZA OESTE;ESTACION CENTRAL;#00A77E
I14N;MALL PLAZA OESTE;CENTRO;#00A77E
I16;POBLACION SANTIAGO;FERROCARRIL;#00A77E
I17;VILLA FRANCIA;HOSPITAL SAN JUAN DE DIOS;#00A77E
I18;RINCONADA;(M) ULA;#00A77E
I20;VALLE VERDE;MARTA OSSA RUIZ;#00A77E
I21;VILLA HERNAN DIAZ;(M) PLAZA MAIPU;#00A77E
I22;LA FARFANA;(M) DEL SOL;#00A77E
I24;VILLA LOS MAITENES;PLAZA OESTE;#00A77E
I25;(M) CERRILLOS;VILLA S. HENRIQUEZ;#00A77E
J01;PUDAHUEL SUR;(M) QUINTA NORMAL;#00929E
J01c;(M) SAN PABLO;CARRASCAL;#00929E
J02;ENEA;(M) ULA;#00929E
J03;COSTANERA SUR;(M) REPUBLICA;#00929E
J04;(M) NEPTUNO;LA ALIANZA;#00929E
J05;COSTANERA SUR;(M) ULA;#00929E
J06;(M) PUDAHUEL;(M) PAJARITOS;#00929E
J07;NOVICIADO;(M) PUDAHUEL;#00929E
J07c;(M) PUDAHUEL;LO BOZA;#00929E
J07e;NOVICIADO;(M) PUDAHUEL;#00929E
J08;PUDAHUEL SUR ;HOSPITAL FELIX BULNES;#00929E
J10;SAN DANIEL;PARQUE DE LOS REYES;#00929E
J11;LOMAS DE LO AGUIRRE;(M) PAJARITOS;#00929E
J12;(M) PAJARITOS;CIUDAD DE LOS VALLES;#00929E
J13;(M) ESTACION CENTRAL;COSTANERA SUR;#00929E
J13c;(M) SAN PABLO;COSTANERA SUR;#00929E
J15c;LA ALIANZA;(M) NEPTUNO;#00929E
J16;COSTANERA SUR;(M) ESTACION CENTRAL;#00929E
J17;(M) PAJARITO;PUERTO SANTIAGO;#00929E
J18;ENEA;(M) SAN PABLO;#00929E
J18c;EL TRANQUE;(M) SAN PABLO;#00929E
J19;PUDAHUEL SUR;(M) QUINTA NORMAL ;#00929E
J20;EL MONTIJO;(M) PUDAHUEL;#00929E
L1;SAN PABLO;LOS DOMINICOS;#FA0727
L2;VESPUCIO NORTE;LA CISTERNA;#FFC107
L3;LOS LIBERTADORE;FERNANDO CASTILLO VELASC;#83441D
L4;TOBALABA;PLAZA DE PUENTE ALTO;#1A1D6A
L4A;LA CISTERNA;VICUñA MACKENNA;#0A5FCA
L5;PLAZA DE MAIPú;VICENTE VALDéS;#008A63
L6;CERRILLOS;LOS LEONE;#9933FF
MTN;METROTREN NO;;#151CF3
MTR;METROTREN RANCAGU;;#F3B015
