CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
110;UNIMARC;UNIMARC BATUCO;AV. FRANCIA 640;LAMPA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;331559;6321701;-70.80771748822639;-33.230514171094136
111;UNIMARC;UNIMARC LAMPA;ARTURO PRAT 681;LAMPA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;325209;6315476;-70.87704195288244;-33.28562288539904
112;UNIMARC;UNIMARC LARAPINTA;LOS HALCONES 2180;LAMPA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;326185;6314537;-70.86674258469635;-33.294249826808695
113;UNIMARC;UNIMARC LAS CONDES;AV. LAS CONDES 14791;LO BARNECHEA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;360519;6306992;-70.4992863209999;-33.3671586729999
114;UNIMARC;UNIMARC LOS MILITARES;MANQUEHUE NORTE 457;LAS CONDES;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;353718;6304321;-70.5727942670416;-33.3903352060048
115;UNIMARC;UNIMARC ESC. MILITAR;AV. APOQUINDO 4335;LAS CONDES;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;352586;6301546;-70.5854137269988;-33.4151957807766
116;UNIMARC;UNIMARC MANQUEHUE;MANQUEHUE 1700;LAS CONDES;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;354613;6300293;-70.5638241520871;-33.4267767581412
117;UNIMARC;UNIMARC LOS TRAPENSES;AV. JOSE ALCALDE DELANO 10497;LO BARNECHEA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;356334;6307581;-70.5441601049999;-33.361293814
118;UNIMARC;UNIMARC 2da TRANSVERSAL MAIPU;SEGUNDA TRANSVERSAL 4090;MAIPU;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;338124;6293185;-70.742400759;-33.488491715
119;UNIMARC;UNIMARC EL ROSAL;AV. EL ROSAL 6361;MAIPU;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;336855;6294206;-70.755865037;-33.4790914719999
120;UNIMARC;UNIMARC MAIPU 4 PONIENTE ;4 PONIENTE 1197;MAIPU;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;333505;6288379;-70.7929883333333;-33.5311133333333
121;UNIMARC;UNIMARC SILVA CARVALLO;SILVA CARVALLO 1414;MAIPU;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;335188;6288336;-70.7748811580075;-33.5317578837243
122;UNIMARC;UNIMARC RINCONADA;RINCONADA 1900;MAIPU;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;334367;6291033;-70.78322806347565;-33.507436523392094
123;UNIMARC;UNIMARC RAMON FREIRE;PAJARITOS 1529;MAIPU;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;336796;6290375;-70.7572041155321;-33.5136286644342
124;UNIMARC;UNIMARC ABRAZO DE MAIPU;AV. JORGE GUERRA 16190;MAIPU;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;335550;6287195;-70.77119666666665;-33.542105555555565
125;UNIMARC;UNIMARC IGNACIO CARRERA PINTO;CAPITAN IGNACIO CARRERA PINTO 3857;ÑUÑOA;Lun-Dom 09:00 a 21:00 ;351856;6295938;-70.5941922979999;-33.465664476
126;UNIMARC;UNIMARC IRARRAZAVAL;AV. IRARRAZAVAL 4354;ÑUÑOA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;352923;6297204;-70.5832589036208;-33.454682812099
127;UNIMARC;UNIMARC VILLA OLIMPICA;OBISPO ORREGO 1250;ÑUÑOA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;349440;6296284;-70.620126539;-33.4622026659999
128;UNIMARC;UNIMARC GRECIA;AV. GRECIA 320;ÑUÑOA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;349068;6296883;-70.624774370013;-33.4570436385942
129;UNIMARC;UNIMARC LOS LEONES;GENERAL JOSE ARTIGAS 3250;ÑUÑOA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;351544;6297782;-70.5979928378057;-33.4492817398444
130;UNIMARC;UNIMARC BUIN MAIPO;CAMINO BUIN MAIPO 3147;BUIN;Lun-Dom 09:00 a 21:00 ;335664;6266235;-70.7738461920038;-33.7310794220974
131;UNIMARC;UNIMARC MANUEL MONTT;AV. IRARRAZAVAL 1730;ÑUÑOA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;350094;6297280;-70.6129261787161;-33.453435087701074
132;UNIMARC;UNIMARC CONSISTORIAL;AV. CONSISTORIAL 2701;PEÑALOLEN;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;356177;6293886;-70.54804093749999;-33.48475083333333
133;UNIMARC;UNIMARC PEÑALOLEN;TOBALABA 11855;PEÑALOLEN;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;355176;6294153;-70.5587616666667;-33.4822066666667
134;UNIMARC;UNIMARC LAS PARCELAS;LAS PARCELAS 9001;PEÑALOLEN;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;357042;6295272;-70.53850590909089;-33.47236772727273
135;UNIMARC;UNIMARC FCO. BILBAO;BILBAO 2050;PROVIDENCIA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;350678;6299001;-70.60635638888888;-33.43787740740739
136;UNIMARC;UNIMARC CIUDAD DE LOS VALLES;AV. EN CANAL 19591;PUDAHUEL;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;328159;6297142;-70.848868121612;-33.45137851226013
137;UNIMARC;UNIMARC CONCHA y TORO;AV. CONCHA Y TORO 3193;PUENTE ALTO;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;353338;6283191;-70.5810930577196;-33.5810872192106
138;UNIMARC;UNIMARC TRONCAL SAN FRANCISCO;AV. LAS NIEVES 02251;PUENTE ALTO;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;355568;6282217;-70.55648055378825;-33.58999730657146
139;UNIMARC;UNIMARC CARRASCAL;GONZALO BULNES 2407;QUINTA NORMAL;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;342151;6300975;-70.69770881268451;-33.41897606779182
140;UNIMARC;UNIMARC SAN BERNARDO;PADRE HURTADO 13694;SAN BERNARDO;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;344589;6277258;-70.6763640259839;-33.6333312803465
141;UNIMARC;UNIMARC BUIN;BALMACEDA 280;BUIN;Lun-Dom 09:00 a 21:00 ;342962;6282376;-70.6930003127127;-33.5869520410361
142;UNIMARC;UNIMARC ALTO JAHUEL;MIRAFLORES 242;BUIN;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;342063;6283116;-70.7017944773331;-33.5798609222436
143;UNIMARC;UNIMARC SAN JOAQUIN;SANTA ROSA 5320;SAN JOAQUIN;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;347827;6291432;-70.63829166666666;-33.5057238888889
144;UNIMARC;UNIMARC GRAN AVENIDA 1;GRAN AVENIDA 5485 - 5620;SAN MIGUEL;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;346251;6291634;-70.65522499999997;-33.50367933333334
145;UNIMARC;UNIMARC DIEGO PORTALES;PORTUGAL 56;SANTIAGO;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;347622;6298581;-70.63928769230766;-33.44124153846153
146;UNIMARC;UNIMARC ESTADO;ESTADO 85-93-95;SANTIAGO;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;346718;6298498;-70.6490317802572;-33.44197592224275
147;UNIMARC;UNIMARC ESPACIO M;COMPAÑIA 1214;SANTIAGO;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;346315;6298882;-70.6540427730639;-33.4386299257484
148;UNIMARC;UNIMARC LAS TRANQUERAS;AV. VITACURA 8400;VITACURA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;355451;6304983;-70.55406998192434;-33.38471122178522
149;UNIMARC;UNIMARC RENCA BIGGER;AV. BRASIL 7073-7085;RENCA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;337699;6302950;-70.7452052654659;-33.4003926036353
150;UNIMARC;UNIMARC VITACURA;AV. VITACURA 4607;VITACURA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;352462;6303414;-70.58644919291348;-33.39845424503488
151;UNIMARC;UNIMARC SANTA MARIA;SANTA MARIA 6940;VITACURA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;354095;6305848;-70.5685015296984;-33.37672678934954
152;UNIMARC;UNIMARC PUDAHUEL;SAN PABLO 8315;PUDAHUEL;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;337212;6298071;-70.751331201;-33.4443062559999
153;UNIMARC;UNIMARC HUECHURABA;AV. PEDRO FONTOVA 7626;HUECHURABA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;344579;6308748;-70.6702618902826;-33.3491351263854
154;UNIMARC;UNIMARC PORTUGAL;PORTUGAL 579;SANTIAGO;Lun-Dom 09:00 a 21:00 ;348021;6297693;-70.63514240599;-33.4492998960469
155;UNIMARC;UNIMARC EL ABRAZO;CAMINO A MELIPILLA 16860;MAIPU;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;335346;6287557;-70.7733293153341;-33.538810971032
156;UNIMARC;UNIMARC LOS DOMINICOS;AV. LOS DOMINICOS 8630;LAS CONDES;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;356387;6302203;-70.5444439874589;-33.4097939366661
157;UNIMARC;UNIMARC ALFEREZ REAL;MANUEL MONTT 1097 ESQUINA ALFERÉZ REAL PISO -1;PROVIDENCIA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;349784;6299028;-70.615965752;-33.437514134
158;UNIMARC;OK MARKET VICUÑA MACKENNA;AV. VICUÑA MACKENNA 4685;SAN JOAQUIN;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;349841;6292610;-70.61643189396041;-33.49549695883499
159;UNIMARC;OK MARKET ELIODORO YAÑEZ;AV. PROVIDENCIA 753-759-763;PROVIDENCIA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;348894;6299532;-70.62545892622124;-33.43295613888134
160;UNIMARC;OK MARKET EL RODEO;LA DEHESA 2035 LOCAL 3 y 4;LO BARNECHEA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;358777;6308651;-70.51831066;-33.35236727
161;UNIMARC;OK MARKET PLAZA NORTE;AV. A.VESPUCIO 1737 BS 1040-1048-1052-1056 BA/ 1044;HUECHURABA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;343980;6306676;-70.6778212680362;-33.3684386191972
162;UNIMARC;OK MARKET CHICUREO;CAMINO CHICUREO FUNDO EL CASTILLO LOTE 2-C3 LOCAL 2;COLINA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;343929;6315788;-70.676051;-33.285618
200;WALMART;LIDER EXPRESS LYON;AV.11 DE SEPTIEMBRE 2249;PROVIDENCIA;Lun-Dom 08:30 a 22:00 ;350483;6300777;-70.6081661556346;-33.4219538517412
201;WALMART;LIDER HIPER INDEPENDENCIA;INDEPENDENCIA 4142;CONCHALI;Lun-Dom 08:30 a 22:00 ;344158;6304216;-70.6755763593055;-33.3900453115187
202;WALMART;LIDER EXPRESS SANTO DOMINGO;SANTO DOMINGO 1031;SANTIAGO;Lun-Dom 08:30 a 22:00 ;346464;6299147;-70.6516548119126;-33.4360880401112
203;WALMART;LIDER HIPER PUENTE ALTO;AV. CONCHA Y TORO 1149;PUENTE ALTO;Lun-Dom 08:30 a 22:00 ;353633;6281124;-70.5775013992747;-33.5994671217027
204;WALMART;LIDER EXPRESS HUERFANOS;HUERFANOS 827;SANTIAGO;Lun-Dom 08:30 a 22:00 ;346756;6298799;-70.6485729715654;-33.4392619273105
205;WALMART;LIDER HIPER PUENTE NUEVO;AV. LAS CONDES 12916;LO BARNECHEA;Lun-Dom 08:30 a 22:00 ;359303;6306592;-70.5124132700129;-33.3707159149033
206;WALMART;LIDER HIPER DEPARTAMENTAL;AV. AMERICO VESPUCIO 6325;LA FLORIDA;Lun-Dom 08:30 a 22:00 ;352250;6290599;-70.5908423050933;-33.5139692664726
207;WALMART;LIDER EXPRESS SAN PABLO;AV.SAN PABLO 2362;SANTIAGO;Lun-Dom 08:30 a 22:00 ;344728;6299227;-70.6703095942928;-33.4351117170152
208;WALMART;LIDER EXPRESS VITACURA;VITACURA 4100;VITACURA;Lun-Dom 08:30 a 22:00 ;352081;6303248;-70.590576297215;-33.3998990540761
209;WALMART;LIDER EXPRESS MAIPU;RAMON FREIRE 1790;MAIPU;Lun-Dom 08:30 a 22:00 ;334970;6290719;-70.7767871139999;-33.5102455959999
210;WALMART;LIDER EXPRESS NONATO COO;AV. NONATO COO 3108;PUENTE ALTO;Lun-Dom 08:30 a 22:00 ;354339;6283507;-70.5695087566837;-33.5781976112227
211;WALMART;LIDER EXPRESS PLAZA ITALIA;RANCAGUA 0180;PROVIDENCIA;Lun-Dom 08:30 a 22:00 ;348465;6298654;-70.6302176043761;-33.4408174704335
212;WALMART;LIDER HIPER IRARRAZAVAL;AV.IRARRAZAVAL 2928;ÑUÑOA;Lun-Dom 08:30 a 22:00 ;351240;6297150;-70.6006210653509;-33.4547651690121
213;WALMART;LIDER EXPRESS LAS REJAS;AV.LIB.BDO.OHIGGINS 5199;ESTACION CENTRAL;Lun-Dom 08:30 a 22:00 ;341411;6296733;-70.7064214225571;-33.4571151736776
214;WALMART;LIDER EXPRESS PUENTE ALTO;AV. MEXICO 1598;PUENTE ALTO;Lun-Dom 08:30 a 22:00 ;355323;6281696;-70.5592016467882;-33.5946574220441
215;WALMART;LIDER HIPER LOS MORROS;RIQUELME 69;EL BOSQUE;Lun-Dom 08:30 a 22:00 ;345157;6286944;-70.6678183800384;-33.5459163082289
216;WALMART;LIDER HIPER MATUCANA;MATUCANA 1202;QUINTA NORMAL;Lun-Dom 08:30 a 22:00 ;343780;6299604;-70.6804390226636;-33.43157146822
217;WALMART;LIDER HIPER HUECHURABA;AV A. VESPUCIO  1737  ;HUECHURABA;Lun-Dom 08:30 a 22:00 ;343910;6306609;-70.6778212680362;-33.3684386191972
218;WALMART;LIDER HIPER AVDA CENTRAL;AV PAJARITOS 2689 ;MAIPU;Lun-Dom 08:30 a 22:00 ;336813;6291899;-70.757311;-33.503596
219;WALMART;LIDER HIPER MAIPU;AV PAJARITOS 4500 ;MAIPU;Lun-Dom 08:30 a 22:00 ;337827;6293961;-70.7454617303113;-33.4815673499888
220;WALMART;LIDER HIPER QUILIN;AV A.VESPUCIO 3100 ;PEÑALOLEN;Lun-Dom 08:30 a 22:00 ;353268;6293801;-70.5793607501303;-33.4852339316205
221;WALMART;LIDER HIPER VESPUCIO MAIPU;AV A.VESPUCIO NORTE 1955;MAIPU;Lun-Dom 08:30 a 22:00 ;336486;6295041;-70.7596833680178;-33.4715098425775
222;WALMART;LIDER HIPER CORDILLERA;LOS TOROS 05441 ;PUENTE ALTO;Lun-Dom 08:30 a 22:00 ;355378;6284823;-70.5581064108238;-33.5664713042779
223;WALMART;LIDER VICUÑA MACKENNA;VICUNA MACKENA 7196;LA FLORIDA;Lun-Dom 08:30 a 22:00 ;351302;6289827;-70.6011757750608;-33.5207973280328
224;WALMART;LIDER HIPER MACUL;AV JOSE PEDRO ALESSANDRI 2127;MACUL;Lun-Dom 08:30 a 22:00 ;351433;6295002;-70.5989014600478;-33.4741531626615
225;WALMART;LIDER HIPER VITACURA;BUENAVENTURA 1770;VITACURA;Lun-Dom 08:30 a 22:00 ;354148;6304767;-70.5681058850668;-33.3864876806606
226;WALMART;LIDER HIPER PLAZA VESPUCIO;FROILAN ROA 7107;LA FLORIDA;Lun-Dom 08:30 a 22:00 ;351452;6290543;-70.6001898275732;-33.5145345077161
227;WALMART;LIDER EXPRESS COLON ;CUARTO CENTENARIO 1016;LAS CONDES;Lun-Dom 08:30 a 22:00 ;355555;6301316;-70.5535460224003;-33.4177873910042
228;WALMART;LIDER EXPRESS LATADIA ;AV A. VESPUCIO SUR 1790;LAS CONDES;Lun-Dom 08:30 a 22:00 ;353607;6300097;-70.5746863701926;-33.428513593411
229;WALMART;LIDER HIPER TALAGANTE ;AV BDO O´HIGGINS  807;TALAGANTE;Lun-Dom 08:30 a 22:00 ;321495;6273615;-70.9252302032062;-33.6623790828303
230;WALMART;LIDER EXPRESS P. DE VALDIVIA;PEDRO DE VALDIVIA 1885;PROVIDENCIA;Lun-Dom 08:30 a 22:00 ;350605;6298769;-70.6071853448527;-33.4400811646939
231;WALMART;LIDER EXPRESS ESTORIL ;AV LAS CONDES 10295;LAS CONDES;Lun-Dom 08:30 a 22:00 ;357322;6305062;-70.5339438756033;-33.384250004664
232;WALMART;LIDER EXPRESS M MONTT ;MANUEL MONTT 80 ;PROVIDENCIA;Lun-Dom 08:30 a 22:00 ;349417;6299936;-70.6197662036586;-33.4293901179188
233;WALMART;LIDER EXPRESS TOBALABA ;LAS CAMELIAS 2875 ;PROVIDENCIA;Lun-Dom 08:30 a 22:00 ;351440;6300684;-70.5978918739228;-33.4229235911053
234;WALMART;LIDER EXPRESS LA DEHESA ;EL RODEO 12850 ;LO BARNECHEA;Lun-Dom 08:30 a 22:00 ;358495;6308551;-70.5207927126735;-33.352951786773
235;WALMART;LIDER EXPRESS APOQUINDO;AV APOQUINDO 6060;LAS CONDES;Lun-Dom 08:30 a 22:00 ;354199;6302250;-70.5679730326251;-33.4091874626127
236;WALMART;LIDER EXPRESS IRARRÁZAVAL;AV IRARRÁZAVAL  2401 ;ÑUÑOA;Lun-Dom 08:30 a 22:00 ;350723;6297204;-70.6061770801876;-33.4542041239829
237;WALMART;LIDER EXPRESS LOS DOMINICOS;LA PLAZA ESQUINA SAN FRANCISCO ASIS;LAS CONDES;Lun-Dom 08:30 a 22:00 ;360537;6304421;-70.498851;-33.39047
238;WALMART;LIDER EXPRESS PIEDRA ROJA ;AV CHICUREO S/N° SECTOR LAGUNA PIEDRA ROJA;COLINA;Lun-Dom 08:30 a 22:00 ;348316;6316784;-70.62877;-33.277328
239;WALMART;LIDER EXPRESS COLINA;CALLE LOS ALAMOS S/N LOTEO ESTANCIA DE LINRAY;COLINA;Lun-Dom 08:30 a 22:00 ;342929;6323318;-70.685467;-33.217646
240;WALMART;LIDER EXPRESS PEDRO FONTOVA;AV PEDRO FONTOVA 7455;HUECHURABA;Lun-Dom 08:30 a 22:00 ;344583;6308466;-70.6702707188651;-33.3517902688916
241;WALMART;LIDER EXPRESS PROVIDENCIA SANTA ISABEL;SANTA ISABEL  0168;PROVIDENCIA;Lun-Dom 08:30 a 22:00 ;348590;6297992;-70.628988552848;-33.4468024118991
242;WALMART;LIDER EXPRESS GRECIA ;AV GRECIA 245;ÑUÑOA;Lun-Dom 08:30 a 22:00 ;348778;6297035;-70.6271214907962;-33.4554512837419
243;WALMART;LIDER EXPRESS CONSISTORIAL;EL CONSISTORIAL 3349 ;PEÑALOLEN;Lun-Dom 08:30 a 22:00 ;356069;6293544;-70.5492605909738;-33.4879386719393
244;WALMART;LIDER EXPRESS EYZAGUIRRE ;EYZAGUIRRE 650;SAN BERNARDO;Lun-Dom 08:30 a 22:00 ;342194;6283208;-70.7003763848303;-33.5791623563435
245;WALMART;LIDER EXPRESS ROJAS MAGALLANES ;18 AV LA FLORIDA;LA FLORIDA;Lun-Dom 08:30 a 22:00 ;355726;6288403;-70.553776;-33.534239
246;WALMART;LIDER EXPRESS G AVENIDA ;GRAN AVENIDA 4004 ;SAN MIGUEL;Lun-Dom 08:30 a 22:00 ;346620;6293153;-70.6510015909072;-33.4901472285148
247;WALMART;LIDER EXPRESS CIUDAD DEL ESTE  ;DIEGO PORTALES / AV LA FLORIDA;LA FLORIDA;Lun-Dom 08:30 a 22:00 ;355963;6285546;-70.551684;-33.560031
248;WALMART;LIDER EXPRESS 10 DE JULIO;AV 10 DE JULIO  1625 ;SANTIAGO;Lun-Dom 08:30 a 22:00 ;345975;6297108;-70.657264268817;-33.4543969124095
249;WALMART;LIDER EXPRESS SANTA ROSA;AV SANTA ROSA 115;SANTIAGO;Lun-Dom 08:30 a 22:00 ;347039;6298118;-70.6456432832749;-33.4454406991941
250;WALMART;LIDER HIPER LOS DOMINICOS;CAMINO EL ALBA 11865;LAS CONDES;Lun-Dom 08:30 a 22:00 ;359064;6303246;-70.5162602451958;-33.4010309606469
251;WALMART;LIDER EXPRESS MERCED;MERCED  560 ;SANTIAGO;Lun-Dom 08:30 a 22:00 ;347081;6298942;-70.6450494877621;-33.4380244776321
252;WALMART;LIDER EXPRESS SAN MARTIN DOWN TOWN;SAN MARTIN  37 ;SANTIAGO;Lun-Dom 08:30 a 22:00 ;345951;6298233;-70.6573316939999;-33.4442484746824
253;WALMART;LIDER EXPRESS VESPUCIO EL ROSAL;AV A. VESPUCIO  1122;MAIPU;Lun-Dom 08:30 a 22:00 ;336894;6294278;-70.7554495228448;-33.4785709438186
255;WALMART;LIDER HIPER OESTE ;AV A. VESPUCIO  2500  ;CERRILLOS;Lun-Dom 08:30 a 22:00 ;341234;6290001;-70.7095140378624;-33.5177767962498
256;WALMART;LIDER HIPER SANTA ROSA ;SANTA ROSA 9233;SAN RAMON;Lun-Dom 08:30 a 22:00 ;348308;6287035;-70.6338725867448;-33.5455463417283
257;WALMART;LIDER HIPER QUILICURA. ;AV O'HIGGINS # 314;QUILICURA;Lun-Dom 08:30 a 22:00 ;339088;6307909;-70.7294089356145;-33.3560057380838
258;WALMART;LIDER EXPRESS TOMAS MORO.;AV TOMAS MORO 1149;LAS CONDES;Lun-Dom 08:30 a 22:00 ;355532;6300473;-70.5539198757747;-33.425385206987
259;WALMART;LIDER HIPER RECOLETA. ;RECOLETA 3501 ;RECOLETA;Lun-Dom 08:30 a 22:00 ;347251;6303850;-70.6423967463143;-33.3937924098514
260;WALMART;LIDER LAS BRUJAS LA REINA;AV PRÍNCIPE DE GALES 9140;LA REINA;Lun-Dom 08:30 a 22:00 ;357272;6298698;-70.5354914891933;-33.4416245402331
261;WALMART;LIDER HIPER GRAN AVENIDA. ;GRAN AVENIDA 6150 ;SAN MIGUEL;Lun-Dom 08:30 a 22:00 ;346086;6290686;-70.6571739852926;-33.5123136495111
262;WALMART;LIDER LA PINTANA;AV SANTA ROSA ESQ GABRIELA 2541;LA PINTANA;Lun-Dom 08:30 a 22:00 ;348878;6282565;-70.62848095;-33.58582
263;WALMART;LIDER HIPER MELIPILLA;AV VICUÑA MACKENNA 0153  ;MELIPILLA;Lun-Dom 08:30 a 22:00 ;295735;6271053;-71.2034869855747;-33.6808237217269
264;WALMART;LIDER HIPER GENERAL VELASQUEZ. ;AV PADRE ALBERTO HURTADO  060;ESTACION CENTRAL;Lun-Dom 08:30 a 22:00 ;342768;6297190;-70.69173;-33.4530783333333
265;WALMART;LIDER HIPER SAN PABLO ;AV NEPTUNO 720;LO PRADO;Lun-Dom 08:30 a 22:00 ;339867;6298062;-70.7227898618076;-33.4448987331016
266;WALMART;LIDER HIPER LA REINA.;JORGE ALESSANDRI 1131;LA REINA;Lun-Dom 08:30 a 22:00 ;356222;6296363;-70.5471596002507;-33.4625346040014
267;WALMART;LIDER HIPER VESPUCIO. ;AV A. VESPUCIO SUR 881 ;ÑUÑOA;Lun-Dom 08:30 a 22:00 ;353769;6296340;-70.57430507;-33.46258442
